,id,name,price,price_ca,price_uk,price_au,discount,year_published,min_players,max_players,min_playtime,max_playtime,min_age,comment_count,num_user_ratings,average_user_rating,average_learning_complexity,average_strategy_complexity,visits,plays,listing_clicks,is_historical_low,players,playtime,name_lower,index
80,i5ZcFukiLv,Omen: Heir to the Dunes,17.47,23.95,0.00,34.14,0.30,2020.0,2.0,2.0,30.0,30.0,14.0,0,1,4.0,0.0,0.0,206,4,0,True,2,30,omen: heir to the dunes,
82,0cCPVHStT3,Shogun & Wallenstein Deluxe Upgrade Kits,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,205,0,0,False,,,shogun & wallenstein deluxe upgrade kits,
85,nrkaLWcSKf,Viscounts: Gates of Gold + Keeper of Keys,0.00,0.00,0.00,0.00,0.00,2022.0,,,,,,0,0,0.0,0.0,0.0,205,0,0,False,,,viscounts: gates of gold + keeper of keys,
86,ZMJYF3NMOX,Skulls of Sedlec,0.00,14.95,0.00,0.00,0.00,2020.0,2.0,3.0,15.0,30.0,8.0,0,9,3.8499999999999996,0.0,0.0,204,122,0,False,2-3,15-30,skulls of sedlec,
87,ksroSxGgSI,Herrlof,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,204,0,0,False,,,herrlof,
88,oeE7nX0Rgs,Jurassic World™ Miniature Game,95.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,203,0,0,False,,,jurassic world™ miniature game,
89,5PJ4HE61tV,Runika and the Six-sided Spellbooks,0.00,0.00,0.00,61.59,0.00,2020.0,1.0,4.0,60.0,90.0,14.0,0,0,0.0,0.0,0.0,203,3,0,False,1-4,60-90,runika and the six-sided spellbooks,
90,511R25WGTJ,Conan: the Conqueror - Adventure Mode Expansion,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,203,0,0,False,,,conan: the conqueror - adventure mode expansion,
93,EEw5i0V8NR,Relics of Rajavihara,0.00,0.00,0.00,0.00,0.00,2020.0,1.0,1.0,1.0,20.0,12.0,0,0,0.0,0.0,0.0,202,87,0,False,1,1-20,relics of rajavihara,
94,uBLRxY2PDl,Micronomicon: A Compendium of Magic for Tiny Dungeon 2e,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,201,0,0,False,,,micronomicon: a compendium of magic for tiny dungeon 2e,
96,QjVCHpYqCr,Herbaceous - Pocket Edition,0.00,0.00,0.00,0.00,0.00,,,,,,,0,1,4.0,0.0,0.0,201,0,0,False,,,herbaceous - pocket edition,
98,vJqoaQ3qJe,Arkeis,0.00,0.00,0.00,0.00,0.00,2020.0,1.0,5.0,60.0,60.0,10.0,0,0,0.0,0.0,0.0,200,0,0,False,1-5,60,arkeis,
0,MZPzzHPBYD,Fired Up,43.99,56.37,39.95,95.95,0.37,2020.0,2.0,5.0,45.0,90.0,12.0,0,2,3.2,0.0,0.0,199,1,0,True,2-5,45-90,fired up,
3,dg7p9v360B,AlderQuest,28.99,31.81,0.00,48.44,0.26,,,,,,,0,0,0.0,0.0,0.0,198,0,0,False,,,alderquest,
5,aqpMWSIQBd,3D Printable SciFi OpenLOCK Compatible Tiles for Gaming Vol2,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,197,0,0,False,,,3d printable scifi openlock compatible tiles for gaming vol2,
6,JtOdmvmSmG,Crumbs,0.00,0.00,0.00,0.00,0.00,2019.0,2.0,4.0,30.0,60.0,10.0,0,1,2.0,0.0,0.0,197,6,0,False,2-4,30-60,crumbs,
7,TUidrGsTDr,Potato Pirates 2: Enter The Spudnet,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,6.0,30.0,60.0,10.0,0,1,5.0,0.0,0.0,197,3,0,False,2-6,30-60,potato pirates 2: enter the spudnet,
8,kN9mBoIdNn,Epic Play Game Knights Playmat,0.00,0.00,0.00,0.00,0.00,2021.0,,,,,,0,0,0.0,0.0,0.0,197,0,0,False,,,epic play game knights playmat,
10,0r7ZQwMJWQ,Crimopolis,52.00,0.00,0.00,0.00,0.20,2019.0,2.0,5.0,30.0,100.0,12.0,0,3,3.0,2.5,3.0,196,12,0,False,2-5,30-100,crimopolis,
11,jmlp3WpBos,The Red Dragon Inn: Allies - Evil Pooky,18.99,15.49,0.00,0.00,0.24,2020.0,2.0,4.0,30.0,60.0,13.0,0,0,0.0,0.0,0.0,196,0,0,False,2-4,30-60,the red dragon inn: allies - evil pooky,
12,rMxJgX5qpj,Svilland,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,196,0,0,False,,,svilland,
13,5UHVv9Wg6I,Beat The Bookie Board Game,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,195,0,0,False,,,beat the bookie board game,
14,6B4XYrKHUc,DELVE: A Solo Game of Digging Too Deep,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,195,0,0,False,,,delve: a solo game of digging too deep,
15,AKW3HCjDb1,Keep the Heroes Out,0.00,0.00,0.00,0.00,0.00,2022.0,1.0,4.0,40.0,120.0,10.0,0,0,0.0,0.0,0.0,195,3,0,False,1-4,40-120,keep the heroes out,
16,OhGdfmEfvq,Curators,35.00,42.95,33.59,36.07,0.30,2021.0,1.0,4.0,45.0,75.0,14.0,0,3,3.1333333333333333,2.0,2.0,193,14,0,False,1-4,45-75,curators,
17,ZisRbgkOZU,Wingspan: European Expansion - Painted Bird Meeples,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,193,0,0,False,,,wingspan: european expansion - painted bird meeples,
18,vSj9v2bK8M,Reichbusters: Projekt Vril,124.95,0.00,0.00,0.00,0.00,2019.0,1.0,4.0,90.0,120.0,14.0,0,3,3.1931666666666665,0.0,0.0,193,52,0,False,1-4,90-120,reichbusters: projekt vril,
19,8rEdDVLtrn,Starving Artists,25.19,36.95,0.00,0.00,0.28,2017.0,1.0,4.0,30.0,60.0,12.0,0,15,3.1333333333333337,0.0,0.0,193,71,0,False,1-4,30-60,starving artists,
20,f8isXIt1Vn,Mark McLaughlin's War & Peace,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,193,0,0,False,,,mark mclaughlin's war & peace,
22,AAAoUCpAwg,Surrealist Dinner Party,17.46,21.13,0.00,36.52,0.30,2021.0,2.0,4.0,,,,0,1,3.25,0.0,0.0,193,19,0,False,2-4,,surrealist dinner party,
23,zUavepy886,Hellraiser Inspired Puzzle Boxes & Deck Boxes for card games,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,192,0,0,False,,,hellraiser inspired puzzle boxes & deck boxes for card games,
24,wdEm3PtFlE,Breachstorm: Reloaded - Resin Sci-fi Miniatures,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,192,0,0,False,,,breachstorm: reloaded - resin sci-fi miniatures,
25,qTcEJxRxo9,Tabletop terrain from XPS foam: Buildings,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,192,0,0,False,,,tabletop terrain from xps foam: buildings,
26,FB8mqovGA8,Hogs of War Card Game,0.00,0.00,0.00,0.00,0.00,2020.0,2.0,4.0,,,,0,0,0.0,0.0,0.0,192,4,0,False,2-4,,hogs of war card game,
27,KwsTAH4l8E,BLOODFIELDS : Complete 3D Printable Wargame,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,192,0,0,False,,,bloodfields : complete 3d printable wargame,
28,WDDJi25LNQ,Reroll: Visual Character Sheet App for 5e DnD,0.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,191,0,0,False,,,reroll: visual character sheet app for 5e dnd,
29,nkCCNei2bJ,Tarawa 1943,69.00,0.00,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,191,1,0,False,,,tarawa 1943,
31,wPS1DIpxBs,Sub Terra II: Inferno's Edge,44.97,54.95,0.00,76.95,0.25,2021.0,1.0,6.0,45.0,75.0,10.0,0,2,4.0,0.0,0.0,189,19,0,False,1-6,45-75,sub terra ii: inferno's edge,
32,scqNomHmJk,Lost In Valhalla,0.00,0.00,0.00,0.00,0.00,,,,,,,0,1,2.0,0.0,0.0,189,2,0,False,,,lost in valhalla,
34,KQSHYg4cBv,PitchCar: Extension 7 - The Loop,0.00,92.95,46.95,0.00,0.00,,,,,,,0,1,4.0,0.0,0.0,188,4,0,False,,,pitchcar: extension 7 - the loop,
35,tAiWtr3AHE,The Umbrella Academy,17.39,22.95,19.99,22.33,0.30,2020.0,1.0,6.0,20.0,40.0,12.0,0,0,0.0,0.0,0.0,188,1,0,False,1-6,20-40,the umbrella academy,
36,g54j1Reg12,Mech Force: International Defense League,0.00,0.00,0.00,0.00,0.00,2000.0,2.0,4.0,90.0,120.0,13.0,0,1,4.0,0.0,0.0,186,5,0,False,2-4,90-120,mech force: international defense league,
37,A5LFFM6N3M,APEX : Collected Edition,120.00,113.97,0.00,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,186,0,0,False,,,apex : collected edition,
38,hIjNKDCpWZ,Towns & Taverns. 2 Modular Books of Battle Mats for Roleplay,0.00,0.00,27.99,0.00,0.00,,,,,,,0,0,0.0,0.0,0.0,186,0,0,False,,,towns & taverns. 2 modular books of battle mats for roleplay,
39,KHiEfeCdVJ,HEL: The Last Saga,0.00,0.00,0.00,0.00,0.00,2020.0,1.0,4.0,60.0,120.0,,0,0,0.0,0.0,0.0,186,0,0,False,1-4,60-120,hel: the last saga,
40,Fhh0EgnDH2,Coral Islands,14.79,29.10,20.25,51.34,0.51,2019.0,1.0,4.0,30.0,60.0,8.0,0,3,2.0,0.0,0.0,186,7,0,False,1-4,30-60,coral islands,
