;average_learning_complexity;average_strategy_complexity;average_user_rating;comment_count;discount;id;is_historical_low;listing_clicks;max_players;max_playtime;min_age;min_players;min_playtime;name;num_user_ratings;players;plays;playtime;price;price_au;price_ca;price_uk;visits;year_published;name_lower
89;0.0;0.0;0.0;0;0.00;2cYSQGOQDR;False;0;6.0;90.0;8.0;2.0;60.0;Monopoly: Montreal Canadiens Centennial Edition;0;2-6;0;60-90;0.00;0.00;0.00;0.00;220;2009.0;monopoly: montreal canadiens centennial edition
92;0.0;0.0;0.0;0;0.00;mkNFxAZwYD;False;0;5.0;75.0;10.0;3.0;45.0;Calimala;0;3-5;0;45-75;54.95;0.00;0.00;0.00;210;;calimala
93;0.0;0.0;3.0;0;0.00;GJCKKEQGwQ;False;0;5.0;180.0;8.0;3.0;180.0;Monopoly: Tropical Tycoon DVD Game;3;3-5;4;180;45.99;0.00;0.00;0.00;210;2007.0;monopoly: tropical tycoon dvd game
95;0.0;0.0;4.150000000000001;0;0.24;eUTQ1ijmrr;False;0;6.0;150.0;12.0;2.0;120.0;Power Grid: Northern Europe/United Kingdom & Ireland;10;2-6;19;120-150;10.99;20.50;15.49;0.00;208;2012.0;power grid: northern europe/united kingdom & ireland
96;0.0;0.0;3.5;0;0.00;2PHmZnDG96;False;0;4.0;120.0;14.0;2.0;120.0;Clinic;8;2-4;28;120;0.00;84.99;75.89;41.35;207;2014.0;clinic
0;0.0;0.0;3.4333333333333336;0;0.20;6BAEMUD8jC;False;0;5.0;60.0;12.0;2.0;60.0;Darjeeling;15;2-5;101;60;39.95;0.00;49.95;37.37;186;2007.0;darjeeling
1;0.0;0.0;3.577142857142857;0;-0.12;e2UcXjgdDA;False;0;5.0;150.0;13.0;2.0;120.0;The Manhattan Project: Second Stage;14;2-5;21;120-150;27.99;54.99;31.95;26.23;184;2013.0;the manhattan project: second stage
2;0.0;0.0;0.0;0;0.00;v846Nfoz5Y;False;0;4.0;120.0;12.0;1.0;60.0;Barrage: Executive Officers Pack A;0;1-4;1;60-120;0.00;0.00;0.00;0.00;169;2019.0;barrage: executive officers pack a
5;0.0;0.0;2.0833333333333335;0;0.00;gkKP5fVhkl;False;0;8.0;90.0;8.0;2.0;90.0;Monopoly: Star Wars;18;2-8;14;90;27.95;0.00;0.00;0.00;165;1997.0;monopoly: star wars
8;0.0;0.0;4.0;0;0.32;fVwkRVChsF;False;0;6.0;150.0;12.0;2.0;120.0;Power Grid: Fabled Expansion;4;2-6;0;120-150;10.79;17.99;13.31;0.00;160;2017.0;power grid: fabled expansion
